FIT Profiler Report
Profile stats for: records
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg    # of Calls  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                          ProfilerStep*         9.37%     758.000us        99.93%       8.083ms       4.042ms             2  
enumerate(DataLoader)#_MultiProcessingDataLoaderIter...        69.24%       5.601ms        69.56%       5.627ms       2.813ms             2  
[pl][profile][Strategy]SingleDeviceStrategy.validati...         2.94%     238.000us         8.85%     716.000us     358.000us             2  
[pl][profile][Callback]TQDMProgressBar.on_validation...         8.49%     687.000us         8.51%     688.000us     344.000us             2  
[pl][module]lightning_pod.network.module.Encoder: en...         0.38%      31.000us         2.89%     234.000us     117.000us             2  
[pl][module]torch.nn.modules.container.Sequential: e...         0.54%      44.000us         2.50%     202.000us     101.000us             2  
[pl][module]lightning_pod.network.module.Decoder: de...         0.19%      15.000us         1.58%     128.000us      64.000us             2  
                                           aten::linear         0.14%      11.000us         1.55%     125.000us      15.625us             8  
[pl][module]torch.nn.modules.container.Sequential: d...         0.48%      39.000us         1.37%     111.000us      55.500us             2  
[pl][profile][Strategy]SingleDeviceStrategy.batch_to...         1.34%     108.000us         1.36%     110.000us      55.000us             2  
                                            aten::empty         1.20%      97.000us         1.20%      97.000us       0.770us           126  
[pl][module]torch.nn.modules.linear.Linear: encoder....         0.19%      15.000us         1.14%      92.000us      46.000us             2  
                                            aten::zeros         0.51%      41.000us         1.10%      89.000us       1.589us            56  
                                            aten::addmm         0.84%      68.000us         1.05%      85.000us      10.625us             8  
                                         aten::mse_loss         0.21%      17.000us         0.67%      54.000us      27.000us             2  
                                             aten::mean         0.12%      10.000us         0.62%      50.000us      12.500us             4  
[pl][module]torch.nn.modules.linear.Linear: decoder....         0.10%       8.000us         0.40%      32.000us      16.000us             2  
[pl][module]torch.nn.modules.activation.ReLU: encode...         0.17%      14.000us         0.37%      30.000us      15.000us             2  
                                                aten::t         0.27%      22.000us         0.36%      29.000us       3.625us             8  
[pl][module]torch.nn.modules.linear.Linear: encoder....         0.12%      10.000us         0.35%      28.000us      14.000us             2  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  
Self CPU time total: 8.089ms
